datetime,close,high,low,open,vol,obv,rsi,atr,macd
2024-02-13 10:40:00,495.13000,495.26001,494.81149,495.15500,1505980,171398312.00000,33.09732,0.63051,-1.49826
2024-02-13 10:35:00,495.15009,495.17999,494.69000,494.85999,1001769,172904292.00000,33.23610,0.64451,-1.62695
2024-02-13 10:30:00,494.87000,495.07999,494.59000,494.89499,1855952,171902523.00000,29.40182,0.65640,-1.76958
2024-02-13 10:25:00,494.89001,494.89001,494.20001,494.58261,1438002,173758475.00000,29.51432,0.66920,-1.89737
2024-02-13 10:20:00,494.22000,494.35999,493.76999,493.81500,1316621,172320473.00000,20.00175,0.66760,-2.03491
2024-02-13 10:15:00,493.81500,493.82999,493.22000,493.57999,1886289,171003852.00000,13.44524,0.67357,-2.11266
2024-02-13 10:10:00,493.57141,493.85001,493.44000,493.50000,1491135,169117563.00000,9.29325,0.67846,-2.13992
2024-02-13 10:05:00,493.50000,493.79001,493.43500,493.56000,1166158,167626428.00000,8.09311,0.69911,-2.11878
2024-02-13 10:00:00,493.55499,493.92001,493.47000,493.82501,966747,168792586.00000,8.17041,0.72558,-2.05372
2024-02-13 09:55:00,493.82501,494.26999,493.69000,494.23999,1268823,169759333.00000,8.54243,0.74677,-1.94641
2024-02-13 09:50:00,494.23999,494.32001,493.62000,494.12000,1575633,171028156.00000,9.13607,0.75960,-1.80861
2024-02-13 09:45:00,494.12000,494.54001,494.03000,494.35999,1104625,169452523.00000,7.40838,0.76419,-1.64868
2024-02-13 09:40:00,494.27499,494.70999,494.17300,494.57999,1510888,170557148.00000,7.58128,0.78374,-1.40836
2024-02-13 09:35:00,494.57501,495.19000,494.53000,494.87500,2014046,172068036.00000,7.91322,0.80272,-1.09691
2024-02-13 09:30:00,494.87000,494.89999,493.98001,494.25000,7060652,174082082.00000,8.24272,0.81370,-0.71398
2024-02-12 15:55:00,500.95001,501.04999,500.54999,500.95001,5299964,181142734.00000,40.59257,0.34013,-0.24488
2024-02-12 15:50:00,500.95001,501.23999,500.85999,500.99500,1452784,181142734.00000,40.59257,0.32784,-0.26162
2024-02-12 15:45:00,500.99500,501.17999,500.89999,501.00000,2050461,182595518.00000,41.63496,0.32382,-0.27919
2024-02-12 15:40:00,501.00821,501.09000,500.79501,500.92999,1273760,184645979.00000,41.92866,0.32720,-0.30213
2024-02-12 15:35:00,500.92001,501.10999,500.92001,500.95001,431381,183372219.00000,39.27377,0.32967,-0.32836
2024-02-12 15:30:00,500.97000,501.03000,500.78500,500.91501,317515,183803600.00000,40.24204,0.34042,-0.34809
